State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Power_Parity,Literacy_Rate,Male_Literacy_Rate,Sex_Ratio,Female_Literacy_Rate,Literacy_Gender_Gap,Low_Income,Middle_Income,High_Income,Worker_Participation_Rate,Male_Worker_Participation_Rate,Female_Worker_Participation_Rate,Electrification_Rate,Internet_Access_Rate,Computer_Access_Rate,Youth_Population_Percent,Middle_Age_Population_Percent,Senior_Population_Percent,Below_Primary_Education_Rate,Literate_Education_Rate,Illiteracy_Rate
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,UTTAR PRADESH,1799410,965876,833534,1002937,630626,372311,701689,485314,216375,273458,19098,1637549,157612,1367,231,168,916,73522,1655,18612,325773,415195,249238,114783,61702,63112,1235531,588025,1949,56.0,65.0,862.9824118209791,45.0,20.0,348,1128,337,39.0,50.0,26.0,4.0,0.0,1.0,62.0,23.0,15.0,18.0,69.0,33.0
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,UTTAR PRADESH,3260699,1707073,1553626,1692458,1010518,681940,1192850,871241,321609,421973,77235,2505444,737106,4857,2090,1553,3016,108116,3159,26293,533140,420824,350564,197780,132332,113799,1760720,1540841,3230,52.0,59.0,910.1110497324953,44.0,15.0,564,1927,514,37.0,51.0,21.0,3.0,0.0,1.0,63.0,22.0,14.0,16.0,54.0,47.0
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,UTTAR PRADESH,4448359,2357665,2090694,2191759,1342697,849062,1401971,1153006,248965,326376,131699,2830768,1536534,14822,28187,4371,931,272830,15164,56575,717585,641251,442110,272840,172554,146446,2409592,1744527,5126,49.0,57.0,886.7646591012718,41.0,16.0,807,2908,998,32.0,49.0,12.0,6.0,0.0,1.0,65.0,21.0,12.0,16.0,54.0,39.0
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185,UTTAR PRADESH,2464464,1255272,1209192,1393783,819719,574064,783688,558642,225046,282260,36856,2082976,364510,3493,900,9753,107,108101,3423,30244,470355,349221,324085,211477,162961,143642,1674771,1021192,2775,57.0,65.0,963.2908246180908,47.0,18.0,478,1681,410,32.0,45.0,19.0,4.0,0.0,1.0,64.0,21.0,15.0,19.0,68.0,41.0
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134,UTTAR PRADESH,3682713,1921215,1761498,2135393,1241471,893922,1088036,921497,166539,311489,52549,2032081,1585210,6184,50624,1736,2134,268353,7303,37341,498971,827447,549594,255028,159528,148185,2453411,1308683,4310,58.0,65.0,916.8666703101943,51.0,14.0,722,2481,779,30.0,48.0,9.0,7.0,0.0,1.0,65.0,21.0,12.0,14.0,67.0,36.0
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,142,UTTAR PRADESH,3499171,1845260,1653911,2031656,1253314,778342,1173260,897815,275445,241137,65937,2707195,777407,4088,2765,669,1572,223922,7865,38225,443641,540754,475146,338138,217882,151182,2184539,1185318,4534,58.0,68.0,896.3024180874239,47.0,21.0,719,2613,815,34.0,49.0,17.0,6.0,0.0,1.0,64.0,22.0,14.0,13.0,62.0,34.0
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196,UTTAR PRADESH,1952756,1017905,934851,1174606,699454,475152,652543,462971,189572,248674,58552,1727869,215081,2153,1389,340,100,99602,3492,20762,295979,367768,276638,196240,135962,88299,1368472,543247,2183,60.0,69.0,918.4069240253266,51.0,18.0,383,1296,351,33.0,45.0,20.0,5.0,0.0,1.0,63.0,22.0,15.0,15.0,70.0,28.0
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,UTTAR PRADESH,991730,527721,464009,531072,330339,200733,394197,254977,139220,150695,12555,955372,34559,693,63,101,285,41046,827,9437,168472,174106,124256,69641,40266,35826,616227,383908,1019,54.0,63.0,879.2695382598001,43.0,20.0,186,601,169,40.0,48.0,30.0,4.0,0.0,1.0,64.0,22.0,14.0,17.0,62.0,39.0
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190,UTTAR PRADESH,3100946,1537436,1563510,1875239,1079288,795951,876246,639073,237173,291016,50418,2730957,358539,3626,818,1182,209,150001,4469,36068,602403,473097,449571,372031,277548,194341,2392325,1130108,3643,60.0,70.0,1016.959405139466,51.0,19.0,633,2169,588,28.0,42.0,15.0,5.0,0.0,1.0,63.0,21.0,16.0,19.0,77.0,36.0
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,UTTAR PRADESH,1774480,947339,827141,1055202,647042,408160,545984,440244,105740,131779,28396,1611126,146346,2464,708,2887,5671,69591,2635,19712,238019,214091,201984,178434,119665,88607,1048892,718310,3461,59.0,68.0,873.1203930166498,49.0,19.0,679,1949,675,31.0,46.0,13.0,4.0,0.0,1.0,65.0,22.0,13.0,13.0,59.0,40.0
